"Qty","Value","Manufacturer_Part_Number"
"5","33uF","EEE-FK1J330V"
"3","100pF","0603N101F101CT"
"1","10uF","AEH0608100M050R"
"2","3.3uF","R66DD4330AA6AJ"
"1","D_Zener 8.2V","BZT52-B8V2_R1_00001"
"1","SMAJ58CA","710-824501581"
"1","SMAJ58CA","710-824501581"
"1","OPA1678IDR","OPA1678IDR"
"1","XLR3","502-C3M"
"1","330","ERA-3AEB331V"
"1","6.8k","CRT0603ABY-6801ELF"
"2","2.2k","ERA-3AEB222V"
"3","100","CRT0603ABY-1000ELF"
"1","100k","ERA-3AEB104V"
"2","1k","RP0603BRD071KL"
"1","4.7k","ERA-3AEB472V"
"1","5.6k","ERA-3AEB562V"
"1","8.2k","RT0603BRD078K2L"
"1","10k","ERA-3AEB103V"
"1","12k","ERA-3AEB123V"
"1","15k","RP0603BRD0715KL"
"1","220","ERA-3AEB221V"
