Qty,Reference,Manufacturer_Part_Number
3,"R17, R5, R9",CRT0603ABY-1000ELF
1,R6,ERA-3AEB104V
3,"C6, C7, C8",0603N101F101CT
1,R13,ERA-3AEB103V
1,C10,AEH0608100M050R
1,R14,ERA-3AEB123V
1,R15,RP0603BRD0715KL
2,"R7, R8",RP0603BRD071KL
2,"R3, R4",ERA-3AEB222V
1,R16,ERA-3AEB221V
2,"C5, C9",R66DD4330AA6AJ
1,R1,ERA-3AEB331V
5,"C11, C12, C13, C3, C4",EEE-FK1J330V
1,R10,ERA-3AEB472V
1,R11,ERA-3AEB562V
1,R2,CRT0603ABY-6801ELF
1,R12,RT0603BRD078K2L
1,C,AEF0608100M100R
1,D1,BZT52-B8V2_R1_00001
1,IC,OPA1678IDR
1,IC1,OPA1678IDR
1,D2,710-824501581
1,D3,710-824501581
1,J3,502-C3M
