Qty,Reference,Manufacturer_Part_Number
5,"C3, C4, C11, C12, C13",EEE-FK1J330V
2,"C5, C9",R66DD4330AA6AJ
3,"C6, C7, C8",0603N101F101CT
1,C10,AEH0608100M050R
1,D1,BZT52-B8V2_R1_00001
2,"D2, D3",710-824501581
1,IC1,OPA1678IDR
1,J3,502-C3M
1,R1,ERA-3AEB331V
1,R2,CRT0603ABY-6801ELF
2,"R3, R4",ERA-3AEB222V
3,"R5, R9, R17",CRT0603ABY-1000ELF
1,R6,ERA-3AEB104V
2,"R7, R8",RP0603BRD071KL
1,R10,ERA-3AEB472V
1,R11,ERA-3AEB562V
1,R12,RT0603BRD078K2L
1,R13,ERA-3AEB103V
1,R14,ERA-3AEB123V
1,R15,RP0603BRD0715KL
1,R16,ERA-3AEB221V
