Designator,Mid X,Mid Y,Rotation,Layer
C1,114.0,-66.8625,90.0,top
C10,101.95,-71.45,180.0,top
C2,114.8625,-74.0,0.0,top
C3,118.4,-80.0,180.0,top
C4,118.4,-90.0,180.0,top
C5,96.85,-83.8,90.0,top
C6,109.8625,-59.5,180.0,top
C7,105.4125,-101.65,0.0,top
C8,109.876616,-101.610884,0.0,top
C9,106.8,-83.8,270.0,top
D1,111.45,-93.6,0.0,top
D2,103.55,-98.45,180.0,top
D3,111.55,-98.45,180.0,top
IC1,110.0,-65.0,270.0,top
J1,110.0,-57.0,270.0,top
J2,108.3,-104.9,90.0,top
R1,111.05,-90.6625,90.0,top
R2,114.0,-62.5875,90.0,top
R3,104.277537,-92.702141,270.0,top
R4,106.9125,-94.01,180.0,top
R5,101.5375,-93.6,0.0,top
R6,103.0,-65.0875,270.0,top
R7,106.0,-65.0875,270.0,top
R8,109.9875,-70.4,0.0,top
R9,102.5,-90.5875,270.0,top
